id,categoryId,taxRateId,name,sku,barcode,price,costPrice,stockLevel,trackStock,allowPriceOverride,isWeighable,showInGoods,goodsSortOrder,color,image,isActive,createdAt,updatedAt,scalePlu
import-prod-16241,import-cat-18,tax-standard-vat,KEDAINIU BARSCIAI UK,16241,4770583205845,239,109,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-16087,import-cat-18,tax-standard-vat,KEDAINIU BUROKELIAI,16087,4770583201151,189,88,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-16238,import-cat-18,tax-standard-vat,KEDAINIU RAUGINTU AG,16238,4770583205203,249,114,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-28982,import-cat-uncategorised,tax-standard-vat,KEDAINIU ZIRNIU,28982,4770583214137,249,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45869,import-cat-uncategorised,tax-standard-vat,KEDAINU GERAS,45869,4770583229612,239,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-18887,import-cat-uncategorised,tax-standard-vat,KEDANIU PUPELIU SRIUBA,18887,4770583201762,249,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-28754,import-cat-uncategorised,tax-standard-vat,KEFIR 1L,28754,5900512850290,119,55,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43555,import-cat-uncategorised,tax-standard-vat,KENT CHOCOLATE SPREAD,43555,8694587150092,319,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-18659,import-cat-8,tax-standard-vat,KEREM SUNFL. WHITE S,18659,8680569000011,129,75,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-19781,import-cat-10,tax-standard-vat,KERPI SLONECZNIK SOLONY 110G,19781,3800103001112,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-38776,import-cat-uncategorised,tax-standard-vat,KERPI SUNFLOWERS,38776,3800103001136,139,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-40411,import-cat-uncategorised,tax-standard-vat,KESTREL,40411,5060692660031,199,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-12586,import-cat-18,tax-standard-vat,KETCHUP PIK.980G,12586,5900783003401,459,171,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-27133,import-cat-13,tax-standard-vat,KETONAL ACTIVE,27133,5907626707922,899,328,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-27134,import-cat-13,tax-standard-vat,KETONAL ACTIVE,27134,5907626707939,1199,393,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43305,import-cat-uncategorised,tax-standard-vat,KETRZYNSKI MAJONEZ,43305,5901682000225,159,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43299,import-cat-uncategorised,tax-standard-vat,KETRZYNSKI MAJONEZ,43299,5901682000836,399,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43300,import-cat-uncategorised,tax-standard-vat,KETRZYNSKI MAJONEZ,43300,5901682005435,279,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-38857,import-cat-uncategorised,tax-standard-vat,KFC LAYS,38857,5900259118844,229,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
